net,time
0.003782151,1062
0.003783211,1063
0.003786748,1064
0.003788519,1065
0.00379171,1066
0.00379384,1067
0.003794551,1068
0.00379704,1069
0.003797752,1070
0.00379882,1071
0.003800601,1072
0.003803813,1073
0.003804885,1074
0.003806674,1075
0.00380918,1076
0.003810254,1077
0.003812048,1078
0.003814202,1079
0.003817437,1080
0.003819596,1081
0.003821761,1082
0.003825012,1083
0.003828629,1084
0.003830078,1085
0.003832254,1086
0.00383407,1087
0.00383516,1088
0.003837343,1089
0.003839527,1090
0.00384062,1091
0.003843537,1092
0.003845362,1093
0.003847189,1094
0.003848653,1095
0.003851585,1096
0.003853785,1097
0.003856354,1098
0.00385856,1099
0.003860032,1100
0.003861875,1101
0.003864829,1102
0.003868523,1103
0.003870002,1104
0.003871852,1105
0.003874074,1106
0.003875558,1107
0.003876301,1108
0.003878533,1109
0.003879651,1110
0.003880396,1111
0.003881889,1112
0.003883384,1113
0.003886754,1114
0.003889755,1115
0.003892762,1116
0.003896904,1117
0.003899542,1118
0.003902183,1119
0.00390445,1120
0.003905585,1121
0.003906343,1122
0.003910136,1123
0.003913935,1124
0.003915075,1125
0.003916217,1126
0.003917741,1127
0.003919267,1128
0.003920032,1129
0.003921946,1130
0.003923864,1131
0.003925782,1132
0.003928086,1133
0.003930009,1134
0.003931549,1135
0.003933091,1136
0.003935794,1137
0.003937341,1138
0.003938887,1139
0.003940435,1140
0.003941983,1141
0.003944309,1142
0.003946638,1143
0.003947416,1144
0.003949752,1145
0.003950142,1146
0.003951701,1147
0.003952482,1148
0.003954437,1149
0.003955612,1150
0.003956395,1151
0.003957572,1152
0.003958356,1153
0.003960712,1154
0.003963462,1155
0.003965823,1156
0.003967793,1157
0.003969372,1158
0.003970954,1159
0.00397214,1160
0.003976497,1161
0.003979272,1162
0.003981654,1163
0.003982845,1164
0.00398563,1165
0.003987224,1166
0.00398842,1167
0.003989618,1168
0.003992415,1169
0.003993617,1170
0.003996826,1171
0.003998835,1172
0.003999237,1173
0.004000041,1174
0.004001651,1175
0.004004473,1176
0.00400649,1177
0.004008511,1178
0.00401094,1179
0.004014181,1180
0.004016208,1181
0.004018642,1182
0.004020671,1183
0.004023514,1184
0.00402392,1185
0.00402514,1186
0.004026767,1187
0.004027581,1188
0.004028803,1189
0.004031249,1190
0.004032066,1191
0.004032066,1192
0.004036164,1193
0.004037395,1194
0.004040271,1195
