time,net
1271,0.005328529
1272,0.005330154
1273,0.005333948
1274,0.005335032
1275,0.005336117
1276,0.005338287
1277,0.005339914
1278,0.005340999
1279,0.00534317
1280,0.005344799
1281,0.005346972
1282,0.005349145
1283,0.005350232
1284,0.00535295
1285,0.005355669
1286,0.005357844
1287,0.005358932
1288,0.005360564
1289,0.005363285
1290,0.005365462
1291,0.005366006
1292,0.005368184
1293,0.005371453
1294,0.005373089
1295,0.005376363
1296,0.005378
1297,0.005381276
1298,0.005381822
1299,0.005384552
1300,0.005387831
1301,0.005388378
1302,0.005392753
1303,0.005396036
1304,0.005397678
1305,0.005400962
1306,0.005402605
1307,0.005404796
1308,0.00540918
1309,0.005410824
1310,0.005411921
1311,0.005414114
1312,0.005417406
1313,0.005419602
1314,0.005421798
1315,0.005424545
1316,0.005426745
1317,0.005430047
1318,0.00543225
1319,0.005433903
1320,0.005435005
1321,0.005435556
1322,0.005437209
1323,0.005439966
1324,0.005442723
1325,0.005444378
1326,0.005447137
1327,0.005451001
1328,0.005452106
1329,0.005453764
1330,0.005455422
1331,0.005457633
1332,0.005458739
1333,0.005460951
1334,0.005462058
1335,0.005463718
1336,0.005464272
1337,0.005464825
1338,0.005464825
1339,0.005468148
1340,0.005469255
1341,0.005470918
1342,0.005470918
1343,0.00547369
1344,0.005475355
1345,0.005477575
1346,0.005479796
1347,0.005482017
1348,0.005483684
1349,0.005485906
1350,0.005487573
1351,0.005489241
1352,0.005491464
1353,0.005494802
1354,0.005496471
1355,0.005498141
1356,0.005498698
1357,0.005499811
1358,0.005500925
1359,0.005502597
1360,0.005503154
1361,0.005504825
1362,0.005507054
1363,0.005508727
1364,0.005512072
1365,0.005513188
1366,0.005513746
1367,0.00551542
1368,0.005518211
1369,0.005520446
1370,0.005522123
1371,0.0055238
1372,0.005525477
1373,0.005526596
1374,0.005529393
1375,0.00553275
1376,0.005535548
1377,0.005537227
1378,0.005538907
1379,0.005541147
1380,0.005542267
1381,0.005543387
1382,0.005544508
1383,0.005548433
1384,0.005549555
1385,0.005550116
1386,0.005555726
1387,0.005556287
1388,0.005557971
1389,0.005560217
1390,0.005562462
1391,0.005564709
1392,0.005566956
1393,0.005569204
1394,0.005570891
1395,0.005572579
1396,0.005574829
1397,0.005576517
1398,0.005577643
1399,0.005579332
1400,0.005581585
1401,0.005582712
1402,0.005583839
1403,0.00558553
1404,0.005586657
1405,0.005586657
1406,0.005590042
1407,0.005592862
1408,0.005593991
1409,0.005596248
1410,0.005597377
1411,0.005599635
1412,0.005601329
1413,0.005601893
1414,0.005604719
1415,0.005606414
1416,0.005608675
1417,0.005609241
1418,0.005611503
1419,0.005612069
1420,0.005613766
1421,0.005617728
1422,0.005619426
1423,0.005621124
1424,0.005622257
1425,0.005626224
1426,0.005627357
1427,0.005629058
1428,0.005631326
1429,0.005633595
1430,0.005633595
1431,0.005634729
1432,0.005636432
